"row";"column";"CdSO4-fit";"CdS-fit"
0;0;0;0
0;1;0;0
0;2;0;0
0;3;0;0
0;4;0;0
0;5;0;0
0;6;0;0
0;7;0;0
0;8;0;0
0;9;0;0
0;10;0;0
0;11;0;0
0;12;0;0
0;13;0;1
0;14;0;1
0;15;0;1
0;16;0.0128788;0.987121
0;17;0;1
0;18;0;1
0;19;0;1
0;20;0;1
0;21;0;1
0;22;0;1
0;23;0;1
0;24;0;1
0;25;0;1
0;26;0;1
0;27;0;1
0;28;0;1
0;29;0;1
0;30;0;1
0;31;0;1
0;32;0;1
0;33;0;1
0;34;0.0186605;0.981339
0;35;0.0156634;0.984337
0;36;0;1
0;37;0.00136953;0.99863
0;38;0.0297023;0.970298
0;39;0.0040357;0.995964
0;40;0;1
0;41;0.00915656;0.990843
0;42;0.0129586;0.987041
0;43;0;1
0;44;0;1
0;45;0;1
0;46;0.0221635;0.977836
0;47;0.0381295;0.96187
0;48;0.0470247;0.952975
0;49;0.0548532;0.945147
0;50;0.054484;0.945516
0;51;0.0494807;0.950519
0;52;0.0442007;0.955799
0;53;0.0187112;0.981289
0;54;0;1
0;55;0;1
0;56;0.0151057;0.984894
0;57;0.0365046;0.963495
0;58;0;1
0;59;0;1
0;60;0.0400739;0.959926
0;61;0.034545;0.965455
0;62;0.0337065;0.966293
0;63;0.0493772;0.950623
0;64;0;1
0;65;0.0121921;0.987808
0;66;0;1
0;67;0;1
0;68;0.0127411;0.987259
0;69;0;1
0;70;0;1
0;71;0.0143862;0.985614
0;72;0.0320914;0.967909
0;73;0.013913;0.986087
0;74;0;1
0;75;0;1
0;76;0.0112385;0.988762
0;77;0.00417803;0.995822
0;78;0.0289588;0.971041
0;79;0.0525392;0.947461
0;80;0.0596373;0.940363
0;81;0;1
0;82;0;1
0;83;0;1
0;84;0.039639;0.960361
0;85;0.0265026;0.973497
0;86;0.0425204;0.95748
0;87;0.0424354;0.957565
0;88;0.0264737;0.973526
0;89;0.0165993;0.983401
0;90;0;1
0;91;0;1
0;92;0;1
0;93;0;1
0;94;0;1
0;95;0;1
0;96;0.0143937;0.985606
0;97;0.0135728;0.986427
0;98;0.0154226;0.984577
0;99;0.0209346;0.979065
0;100;0.0249058;0.975094
0;101;0.0194893;0.980511
0;102;0.0348094;0.965191
0;103;0.0388874;0.961113
0;104;0.0407805;0.959219
0;105;0.0446772;0.955323
0;106;0;1
0;107;0;1
0;108;0;1
0;109;0;1
0;110;0.0125419;0.987458
0;111;0.0242646;0.975735
0;112;0.0451111;0.954889
0;113;0.0435479;0.956452
0;114;0;1
0;115;0;1
0;116;0;1
0;117;0;1
0;118;0;1
0;119;0.00964121;0.990359
0;120;0.0301359;0.969864
0;121;0;1
0;122;0;1
0;123;0;1
0;124;0;1
0;125;0.0356476;0.964352
0;126;0.0387527;0.961247
0;127;0;1
0;128;0.0473155;0.952685
0;129;0.0343779;0.965622
0;130;0.0501858;0.949814
0;131;0;1
0;132;0;1
0;133;0;1
0;134;0;1
0;135;0;1
0;136;0;1
0;137;0.0445758;0.955424
0;138;0.0276474;0.972353
0;139;0.0204378;0.979562
0;140;0.0239782;0.976022
0;141;0.0496379;0.950362
0;142;0.0504533;0.949547
0;143;0.0415417;0.958458
0;144;0.0267982;0.973202
0;145;0.0114798;0.98852
0;146;0;1
0;147;0;1
0;148;0.00165795;0.998342
0;149;0.0136488;0.986351
0;150;0.0222971;0.977703
0;151;0.0303822;0.969618
0;152;0.0418808;0.958119
0;153;0.0536206;0.946379
0;154;0.0551346;0.944865
0;155;0.0583597;0.94164
0;156;0.0462898;0.95371
0;157;0.0368706;0.963129
0;158;0.0334662;0.966534
0;159;0.0242683;0.975732
0;160;0.0335011;0.966499
0;161;0.0074736;0.992526
0;162;0.00483669;0.995163
0;163;0;1
0;164;0.0073465;0.992654
0;165;0.0249561;0.975044
0;166;0.0222271;0.977773
0;167;0;1
0;168;0.000387407;0.999613
0;169;0.01399;0.98601
0;170;0.0168991;0.983101
0;171;0.0203499;0.97965
0;172;0.02607;0.97393
0;173;0.0477513;0.952249
0;174;0.0520109;0.947989
0;175;0.0451912;0.954809
0;176;0.0406405;0.959359
0;177;0.026274;0.973726
0;178;0.0337579;0.966242
0;179;0.0480031;0.951997
0;180;0.0473194;0.952681
0;181;0.0505288;0.949471
0;182;0.0477104;0.95229
0;183;0.0491488;0.950851
0;184;0.0464096;0.95359
0;185;0.0414508;0.958549
0;186;0.0194813;0.980519
0;187;0.0254841;0.974516
0;188;0.0382913;0.961709
0;189;0.0329317;0.967068
0;190;0.0266956;0.973304
0;191;0.0355055;0.964495
0;192;0.0370488;0.962951
0;193;0.0337144;0.966286
1;0;0;0
1;1;0;0
1;2;0;0
1;3;0;0
1;4;0;0
1;5;0;0
1;6;0;0
1;7;0;0
1;8;0;0
1;9;0;0
1;10;0;0
1;11;0;0
1;12;0.0369884;0.963012
1;13;0.0355308;0.964469
1;14;0.00895317;0.991047
1;15;0;1
1;16;0;1
1;17;0;1
1;18;0;1
1;19;0;1
1;20;0;1
1;21;0;1
1;22;5.55e-17;1
1;23;0;1
1;24;5.55e-17;1
1;25;0;1
1;26;0;1
1;27;0;1
1;28;0;1
1;29;0;1
1;30;0;1
1;31;0;1
1;32;0;1
1;33;0.0280373;0.971963
1;34;0;1
1;35;0;1
1;36;0;1
1;37;0;1
1;38;0;1
1;39;0;1
1;40;0.0150538;0.984946
1;41;0.0228068;0.977193
1;42;0;1
1;43;0;1
1;44;0.0167721;0.983228
1;45;0.0111186;0.988881
1;46;0.031577;0.968423
1;47;0.0518254;0.948175
1;48;0;1
1;49;0;1
1;50;0;1
1;51;0;1
1;52;0;1
1;53;0.00351318;0.996487
1;54;0;1
1;55;0;1
1;56;0;1
1;57;0.0228815;0.977118
1;58;0.0507297;0.94927
1;59;0;1
1;60;0.0221519;0.977848
1;61;0.0281496;0.97185
1;62;0.0425283;0.957472
1;63;0;1
1;64;0;1
1;65;0;1
1;66;0;1
1;67;0;1
1;68;0;1
1;69;0;1
1;70;0.0448594;0.955141
1;71;0;1
1;72;0.0461802;0.95382
1;73;0.0240006;0.975999
1;74;0.017104;0.982896
1;75;0.0108364;0.989164
1;76;0.0344689;0.965531
1;77;0.0461047;0.953895
1;78;0.0551021;0.944898
1;79;0.0578246;0.942175
1;80;0.0557938;0.944206
1;81;0.0484735;0.951526
1;82;0.0391367;0.960863
1;83;0.00132412;0.998676
1;84;0;1
1;85;0.00625192;0.993748
1;86;0.0294073;0.970593
1;87;0.0423443;0.957656
1;88;0.0111365;0.988864
1;89;0;1
1;90;0;1
1;91;0;1
1;92;0;1
1;93;0;1
1;94;0;1
1;95;0;1
1;96;0.0104346;0.989565
1;97;0.0195835;0.980416
1;98;0.0388642;0.961136
1;99;0.0435403;0.95646
1;100;0.0480799;0.95192
1;101;0.0400944;0.959906
1;102;0.0119638;0.988036
1;103;0.0230214;0.976979
1;104;0.0285084;0.971492
1;105;0.0305839;0.969416
1;106;0.0356032;0.964397
1;107;0.0363037;0.963696
1;108;0.0280351;0.971965
1;109;0.0319125;0.968088
1;110;0.0499536;0.950046
1;111;0.0452142;0.954786
1;112;0.0216567;0.978343
1;113;0.0155946;0.984405
1;114;0.0287607;0.971239
1;115;0.0236844;0.976316
1;116;0.0171194;0.982881
1;117;0;1
1;118;0.0141318;0.985868
1;119;0.0423419;0.957658
1;120;0.0497245;0.950276
1;121;0.0417809;0.958219
1;122;0.0417741;0.958226
1;123;0.0315817;0.968418
1;124;0.0187387;0.981261
1;125;0.0278128;0.972187
1;126;0;1
1;127;0;1
1;128;0;1
1;129;0;1
