"row";"column";"CdSO4-fit";"CdS-fit"
0;0;0;0
0;1;0;0
0;2;0;0
0;3;0;0
0;4;0;0
0;5;0;0
0;6;0;0
0;7;0;0
0;8;0;0
0;9;0;0
0;10;0;0
0;11;0;0
0;12;0;0
0;13;0;0
0;14;0;0
0;15;0;0
0;16;0;0
0;17;0;0
0;18;0;0
0;19;0;0
0;20;0;0
0;21;0;0
0;22;0;0
0;23;0;0
0;24;0;0
0;25;0;0
0;26;0;0
0;27;0;0
0;28;0;0
0;29;0;0
0;30;0.0266298;0.97337
0;31;0.0515762;0.948424
0;32;0.176256;0.823744
0;33;0.289112;0.710888
0;34;0.267157;0.732843
0;35;0.256439;0.743561
0;36;0.266588;0.733412
0;37;0.261196;0.738804
0;38;0.183947;0.816053
0;39;0.111194;0.888806
0;40;0.0674113;0.932589
0;41;0.0143797;0.98562
0;42;0.00611669;0.993883
0;43;0.0300092;0.969991
0;44;0.0189458;0.981054
0;45;0;1
0;46;0;1
0;47;0;1
0;48;0;1
0;49;0.0564507;0.943549
0;50;0.0426868;0.957313
0;51;0.0198776;0.980122
0;52;0;1
0;53;0.0321607;0.967839
0;54;0.0910938;0.908906
0;55;0.108604;0.891396
0;56;0.105989;0.894011
0;57;0.113111;0.886889
0;58;0.125443;0.874557
0;59;0.10964;0.89036
0;60;0.118126;0.881874
0;61;0.211647;0.788353
0;62;0.201192;0.798808
0;63;0.186122;0.813878
0;64;0.170262;0.829738
0;65;0.0801535;0.919847
0;66;0;1
0;67;0;1
0;68;0;1
0;69;0.0495457;0.950454
0;70;0.0270411;0.972959
0;71;0;1
0;72;0;1
0;73;0;1
0;74;0.0628914;0.937109
0;75;0.108434;0.891566
0;76;0;1
0;77;0.0205868;0.979413
0;78;0;1
0;79;5.55e-17;1
0;80;0;1
0;81;0.069461;0.930539
0;82;0.0777983;0.922202
0;83;0.0436818;0.956318
0;84;0.0342719;0.965728
0;85;0;1
0;86;0.0398475;0.960153
0;87;0;1
0;88;0;1
0;89;0.00597286;0.994027
0;90;0.034414;0.965586
0;91;0;1
0;92;0;1
0;93;0;1
0;94;0.0656548;0.934345
0;95;0;1
0;96;0;1
0;97;0;1
0;98;0;1
0;99;0;1
0;100;0;1
0;101;0;1
0;102;0.00545328;0.994547
0;103;0.0384305;0.961569
0;104;0;1
0;105;0;1
0;106;0.0505961;0.949404
0;107;0.0695697;0.93043
0;108;0;1
0;109;0;1
0;110;0;1
0;111;0;1
0;112;0;1
0;113;0;1
0;114;0;1
0;115;0.0269944;0.973006
0;116;0.0643006;0.935699
0;117;0.0361483;0.963852
0;118;0.0661203;0.93388
0;119;0.0431705;0.956829
0;120;0;1
0;121;0.00591632;0.994084
0;122;0.0171164;0.982884
0;123;0.0527945;0.947206
0;124;0;1
0;125;0;1
0;126;0.000776636;0.999223
0;127;5.55e-17;1
0;128;0.00139216;0.998608
0;129;0;1
0;130;0;1
0;131;0.0236232;0.976377
0;132;0;1
0;133;0.0238674;0.976133
0;134;0.0307263;0.969274
0;135;0;1
0;136;0;1
0;137;0;1
0;138;0;1
0;139;0.0451433;0.954857
0;140;0;1
0;141;0;1
0;142;0;1
0;143;0;1
0;144;0.0134042;0.986596
0;145;0.0435116;0.956488
0;146;0.0217424;0.978258
0;147;0.0269262;0.973074
0;148;0.0415534;0.958447
0;149;0;1
0;150;0;1
0;151;0;1
0;152;0.0535538;0.946446
0;153;0;1
0;154;0.00678882;0.993211
0;155;0;1
0;156;0;1
0;157;0;1
0;158;0;1
0;159;0.0316013;0.968399
0;160;0.0513295;0.948671
0;161;0;1
0;162;0;1
0;163;0.0340954;0.965905
0;164;0;1
0;165;0;1
0;166;0;1
0;167;0;1
0;168;0.0101951;0.989805
0;169;0.00901327;0.990987
0;170;0;1
0;171;0;1
0;172;0;1
0;173;0.0195346;0.980465
0;174;0;1
0;175;0;1
0;176;0;1
0;177;0;1
0;178;0;1
0;179;0;1
0;180;0;1
0;181;0;1
0;182;0;1
0;183;0;1
0;184;0;1
0;185;0;1
0;186;0;1
0;187;0;1
0;188;0;1
0;189;0;1
0;190;0;1
0;191;0;1
0;192;0;1
0;193;0;1
0;194;0;1
0;195;0;1
0;196;0;1
0;197;0;1
0;198;0;1
0;199;0;1
0;200;0;1
0;201;0;1
0;202;0;1
0;203;0.0197007;0.980299
0;204;0.0136907;0.986309
0;205;0;1
0;206;0;1
0;207;0.0330642;0.966936
0;208;0.0471897;0.95281
0;209;0;1
0;210;0;1
0;211;0;1
0;212;0;1
0;213;0;1
0;214;0;1
0;215;0;1
0;216;0;1
0;217;0.0196032;0.980397
0;218;0.0329406;0.967059
0;219;0;1
0;220;0;1
0;221;0;1
0;222;0.0548262;0.945174
0;223;0.0269306;0.973069
0;224;0;1
0;225;0;1
0;226;0;1
0;227;0;1
0;228;0;1
0;229;0;1
0;230;0;1
0;231;0;1
0;232;0;1
0;233;0;1
1;0;0;0
1;1;0;0
1;2;0;0
1;3;0;0
1;4;0;0
1;5;0;0
1;6;0;0
1;7;0;0
1;8;0;0
1;9;0;0
1;10;0;0
1;11;0;0
1;12;0;0
1;13;0;0
1;14;0;0
1;15;0;0
1;16;0;0
1;17;0;0
1;18;0;0
1;19;0;0
1;20;0;0
1;21;0;0
1;22;0;0
1;23;0;0
1;24;0;0
1;25;0;0
1;26;0;0
1;27;0;0
1;28;0;0
1;29;0.0510045;0.949835
1;30;0;1
1;31;0.0661567;0.933843
1;32;0.11717;0.88283
1;33;0.110372;0.889628
1;34;0.0581203;0.94188
1;35;0.0512744;0.948726
1;36;0.0870232;0.912977
1;37;0.101725;0.898275
1;38;0.0917847;0.908215
1;39;0.0943626;0.905637
1;40;0.110155;0.889845
1;41;0.127824;0.872176
1;42;0.11745;0.88255
1;43;0.108717;0.891283
1;44;0.0883412;0.911659
1;45;0.129075;0.870925
1;46;0.142238;0.857762
1;47;0.148009;0.851991
1;48;0.0925831;0.907417
1;49;0.101209;0.898791
1;50;0.107443;0.892557
1;51;0.0477952;0.952205
1;52;0.0334211;0.966579
1;53;0.0158158;0.984184
1;54;0.0102423;0.989758
1;55;0.0219393;0.978061
1;56;0.00723034;0.99277
1;57;0.0452336;0.954766
1;58;0.124213;0.875787
1;59;0.15936;0.84064
1;60;0.0965642;0.903436
1;61;0.0511067;0.948893
1;62;0.0408931;0.959107
1;63;0.071548;0.928452
1;64;0.00701965;0.99298
1;65;0.00218095;0.997819
1;66;0.0679589;0.932041
1;67;0.0905874;0.909413
1;68;0.0680096;0.93199
1;69;0.0144317;0.985568
1;70;0;1
1;71;0.0325189;0.967481
1;72;0.0409338;0.959066
1;73;0.0790077;0.920992
1;74;0.0790133;0.920987
1;75;0.0537934;0.946207
1;76;0.0281922;0.971808
1;77;0.000176865;0.999823
1;78;0;1
1;79;0;1
1;80;0;1
1;81;0;1
1;82;0.00614722;0.993853
1;83;0.0653912;0.934609
1;84;0;1
1;85;0.0181913;0.981809
1;86;0.00346646;0.996534
1;87;0;1
1;88;0;1
1;89;0;1
1;90;0;1
1;91;0.0369942;0.963006
1;92;0.0403727;0.959627
1;93;0;1
1;94;0;1
1;95;0;1
1;96;0;1
1;97;0;1
1;98;0;1
1;99;0.0559792;0.944021
1;100;0.00275115;0.997249
1;101;0;1
1;102;5.55e-17;1
1;103;0;1
1;104;0;1
1;105;0;1
1;106;0;1
1;107;0;1
1;108;0.12242;0.87758
1;109;0;1
1;110;0;1
1;111;0.0478455;0.952154
1;112;0;1
1;113;0;1
1;114;0;1
1;115;0;1
1;116;0;1
1;117;0;1
1;118;0;1
1;119;0.0401761;0.959824
1;120;0.00743093;0.992569
