Wavelength	Media	StDev
nm		
171.78303527832	2.22437501748403E-7	1.3502918490911E-7
172.356704711914	-4.11443090438843E-8	3.29209476122473E-8
172.930374145508	3.15912834803262E-8	1.60105357947002E-7
173.504043579102	6.84448424975077E-8	3.09532824279076E-7
174.077713012695	8.30540966987607E-8	1.27133264179336E-7
174.651382446289	1.09060539801916E-7	8.6746724800666E-8
175.225051879883	3.92006127039592E-8	7.48882038961219E-8
175.798706054688	1.46192719539007E-7	9.85423621563596E-8
176.372375488281	7.50290326774121E-8	1.48103204680939E-7
176.946044921875	5.41713285446166E-8	5.14955152264216E-8
177.519714355469	6.67400614420573E-8	9.25135704530809E-8
178.093383789063	7.48486042022703E-8	1.2783339351328E-7
178.667053222656	-4.37581253051758E-8	1.84071345441196E-7
179.24072265625	-1.5173085530599E-7	3.28902995849125E-7
179.814392089844	3.88143952687582E-8	1.09229262957005E-7
180.388061523438	5.64312108357747E-8	6.96821937008521E-8
180.961730957031	1.10272471904755E-7	1.13376131766532E-7
181.535400390625	-5.64962514241537E-8	1.01409898321252E-7
182.109069824219	-2.80738878250122E-7	2.35640625441408E-7
182.682739257813	2.52820100386937E-7	4.01886326116057E-7
183.256408691406	-1.07598957618078E-7	1.08088212297243E-7
183.830062866211	-1.02081584135691E-7	2.59085855330654E-7
184.403732299805	-7.78786802291872E-8	1.11436763073141E-7
184.977401733398	1.46442938645681E-7	3.22760848805117E-8
185.551071166992	2.40309444268545E-7	1.09633295175364E-7
186.124740600586	-3.63527011871337E-8	1.02268981244163E-7
186.69841003418	1.71326940854391E-7	1.46256621128714E-7
187.272079467773	1.07684288620949E-7	2.23472068978977E-7
187.845748901367	1.56872193018595E-7	1.68005773160413E-7
188.419418334961	2.68683222134908E-7	3.60771603284765E-7
188.993087768555	8.25200104713439E-8	2.30180415110675E-7
189.566757202148	-7.36558556556702E-8	1.47902230624386E-7
190.140426635742	-8.90269200007118E-8	8.45764514434561E-8
190.714096069336	4.03625567754111E-8	1.02297445259466E-7
191.287750244141	2.18176584243774E-7	1.96854337379089E-7
191.861419677734	9.24591668446858E-8	1.17265821600375E-7
192.435089111328	-3.58425124486288E-8	1.12455804767522E-7
193.008758544922	8.81184210379918E-8	1.11153914373814E-7
193.582427978516	1.7724153359731E-7	2.310745651873E-7
194.156097412109	1.00623133977254E-7	6.48241285363721E-8
194.729766845703	6.76877291997274E-8	5.6291669826394E-8
195.303436279297	2.23873716990153E-7	1.21008436472093E-7
195.877105712891	-1.63086659113566E-7	2.75198315916099E-7
196.450775146484	1.00367513497671E-7	1.24805095211086E-7
197.024444580078	7.34590784708659E-8	9.2018221440516E-8
197.598114013672	3.50787703196208E-8	5.92102792734645E-8
198.171783447266	8.34987231095634E-8	2.4771978412581E-7
198.745452880859	2.40094359715779E-8	8.11749989040569E-8
199.319107055664	5.98066202799479E-8	1.00472731441492E-7
199.892776489258	1.06930530865987E-7	1.15887840454912E-7
200.466445922852	-3.60674607753754E-8	8.4613397936642E-8
201.040115356445	4.0963130581906E-7	4.60944169876025E-7
201.613784790039	1488.06833364239	1430.98087859803
202.187454223633	646.258467580049	649.340265784873
202.761123657227	133.306006323786	1223.54119467796
203.33479309082	22.8116533281756	1477.75020232424
203.908462524414	68.0708464544333	285.566976134929
204.482131958008	-560.654660387433	461.507726750356
205.055801391602	5.53869865774804	681.713093986946
205.629470825195	156.830338442752	492.199154548311
206.203140258789	171.647612677373	228.143703255184
206.776794433594	-1.61965071408849	878.601162489403
207.350463867188	415.328790814703	159.135361298494
207.924133300781	97.4247119711125	410.327903457195
208.497802734375	264.941202971607	191.772146536723
209.071472167969	-21.5712573589518	890.845595380801
209.645141601563	-54.0648749688372	357.057362623668
210.218811035156	-183.022664534656	488.989479225374
210.79248046875	41.6727919436251	145.518556500642
211.366149902344	-108.201115177929	303.509848037196
211.939819335938	104.951084097701	121.928723182283
212.513488769531	-100.160620392335	172.438724350851
213.087158203125	-522.402377774759	756.324061632245
213.660827636719	-309.835200824664	493.654593003748
214.234497070313	-41.9248981755521	94.6612087472832
214.808151245117	52.6456179967286	44.234451049914
215.381820678711	93.2224417916495	125.978400061856
215.955490112305	4.37202492766518	209.008317589157
216.529159545898	-90.5870585392233	148.10157908353
217.102828979492	28.6401230732459	111.28940105283
217.676498413086	265.287712321872	166.611920582868
218.25016784668	116.081843166345	231.078499781896
218.823837280273	-206.884916478524	275.395182912443
219.397506713867	107.837903365703	117.407308974895
219.971176147461	-18.1851402882067	54.3512360113532
220.544845581055	-108.069019946979	253.848698748053
221.118515014648	4.9150446916079	59.3024568271139
221.692184448242	113.123670659891	79.7908695056856
222.265838623047	90.2753806882653	55.9328163331865
222.839508056641	18.82396982712	54.4277368528024
223.413177490234	68.7014353603134	75.2177650082389
223.986846923828	102.961119223024	89.3831257659068
224.560516357422	18.7307601338451	78.9884572886807
225.134185791016	26.5519260627327	138.942019358077
225.707855224609	40.7796841498282	91.0802838769491
226.281524658203	-16.7129852957224	74.2800489539613
226.855194091797	-2.62284409991737	68.8539409597503
227.428863525391	-7.65254624830648	46.0875800053045
228.002532958984	5.1042447861713	47.7397914863991
228.576202392578	51.1386784097373	60.6463098566302
229.149871826172	15.8846093958108	60.3412771835719
229.723541259766	20.0081389992276	73.1125619029823
230.29719543457	55.32163799905	96.4606406488613
230.870864868164	-60.6682708333705	61.9652559529914
231.444534301758	-67.2112512923304	18.1302813289492
232.018203735352	-6.79834516782788	28.15927527643
232.591873168945	-12.5319285995961	44.967869151808
233.165542602539	18.0586455609911	28.6206013987732
233.739212036133	-47.0474134267242	46.1289130967457
234.312881469727	-48.5726094733657	135.49824747448
