850	91.10974
849	91.18325
848	91.1455
847	90.99901
846	90.9325
845	91.05775
844	91.13351
843	91.04076
842	91.25375
841	91.32825
840	91.36525
839	91.31226
838	91.38225
837	91.427
836	91.51075
835	91.52251
834	91.45775
833	91.4635
832	91.56125
831	91.53975
830	91.54175
829	91.52525
828	91.504
827	91.4945
826	91.52375
825	91.505
824	91.51225
823	91.47675
822	91.54301
821	91.64825
820	91.6375
819	91.66725
818	91.72975
817	91.77126
816	91.77051
815	91.74675
814	91.73825
813	91.7735
812	91.7595
811	91.7575
810	91.78799
809	91.71575
808	91.70625
807	91.70226
806	91.70975
805	91.699
804	91.74049
803	91.73875
802	91.73
801	91.76726
800	91.73575
799	91.747
798	91.71625
797	91.7205
796	91.70399
795	91.7075
794	91.696
793	91.70275
792	91.7195
791	91.774
790	91.7225
789	91.74525
788	91.745
787	91.76801
786	91.76325
785	91.78575
784	91.81651
783	91.8215
782	91.80475
781	91.82375
780	91.82275
779	91.7995
778	91.79875
777	91.74525
776	91.75124
775	91.6955
774	91.71349
773	91.7305
772	91.7255
771	91.80475
770	91.8525
769	91.8865
768	91.88375
767	91.87624
766	91.89325
765	91.906
764	91.90424
763	91.82225
762	91.79449
761	91.80375
760	91.74975
759	91.78749
758	91.72925
757	91.7675
756	91.7915
755	91.81575
754	91.79825
753	91.778
752	91.74875
751	91.74225
750	91.77325
749	91.74976
748	91.789
747	91.795
746	91.79449
745	91.826
744	91.74924
743	91.76725
742	91.78175
741	91.7555
740	91.813
739	91.81825
738	91.814
737	91.8535
736	91.8015
735	91.7645
734	91.741
733	91.714
732	91.6705
731	91.68175
730	91.67575
729	91.65074
728	91.65
727	91.6715
726	91.68251
725	91.66225
724	91.64875
723	91.67725
722	91.668
721	91.63725
720	91.61725
719	91.569
718	91.54175
717	91.516
716	91.44749
715	91.44975
714	91.44276
713	91.45724
712	91.41174
711	91.427
710	91.42775
709	91.39075
708	91.39575
707	91.37275
706	91.407
705	91.34351
704	91.33775
703	91.323
702	91.28825
701	91.23825
700	91.1745
699	91.17175
698	91.14101
697	91.1035
696	91.04874
695	91.06525
694	91.049
693	91.043
692	91.03725
691	91.03125
690	91.039
689	91.01125
688	91.02475
687	91.0145
686	91.009
685	90.978
684	90.96201
683	90.92225
682	90.89875
681	90.87225
680	90.80025
679	90.75425
678	90.6235
677	90.57326
676	90.48924
675	90.44475
674	90.371
673	90.293
672	90.299
671	90.27925
670	90.23375
669	90.1705
668	90.15025
667	90.10575
666	90.03175
665	89.95274
664	89.898
663	89.86349
662	89.81325
661	89.74375
660	89.69525
659	89.63899
658	89.61275
657	89.513
656	89.45924
655	89.37975
654	89.35325
653	89.30175
652	89.2455
651	89.16949
650	89.114
649	89.02126
648	88.97626
647	88.9
646	88.7845
645	88.73949
644	88.6505
643	88.60249
